model,threshold,auroc,eod,tpr
LR,0.14183673469387753,0.6780569686990446,0.007042253521126751,1.0
LR,0.16020408163265304,0.6780569686990446,0.007042253521126751,1.0
LR,0.17857142857142855,0.6780569686990446,0.020408163265306145,0.9986468200270636
LR,0.19693877551020406,0.6780569686990446,0.02230311893936987,0.9959404600811907
LR,0.21530612244897956,0.6780569686990446,0.03147958136671458,0.9918809201623816
LR,0.23367346938775507,0.6780569686990446,0.052240717029449435,0.9837618403247632
LR,0.2520408163265306,0.6780569686990446,0.0551856594110115,0.9742895805142084
LR,0.2704081632653061,0.6780569686990446,0.059568597943315704,0.9688768606224628
LR,0.2887755102040816,0.6780569686990446,0.09382086167800452,0.9553450608930988
LR,0.3071428571428571,0.6780569686990446,0.10368071231502385,0.939106901217862
LR,0.3255102040816326,0.6780569686990446,0.10059511594500303,0.918809201623816
LR,0.3438775510204081,0.6780569686990446,0.09571106094808135,0.8985115020297699
LR,0.36224489795918363,0.6780569686990446,0.12539733726447688,0.8768606224627875
LR,0.38061224489795914,0.6780569686990446,0.1252130649099369,0.8538565629228687
LR,0.39897959183673465,0.6780569686990446,0.11623692493561821,0.8267929634641408
LR,0.41734693877551016,0.6780569686990446,0.11876417233560099,0.790257104194858
LR,0.43571428571428567,0.6780569686990446,0.15416653419387655,0.7456021650879567
LR,0.4540816326530612,0.6780569686990446,0.182701173179029,0.7144790257104194
LR,0.4724489795918367,0.6780569686990446,0.21498079385403335,0.6698240866035182
LR,0.4908163265306122,0.6780569686990446,0.17682458386683741,0.6224627875507442
LR,0.5091836734693878,0.6780569686990446,0.23546734955185658,0.5751014884979703
LR,0.5275510204081633,0.6780569686990446,0.1973111395646607,0.523680649526387
LR,0.5459183673469388,0.6780569686990446,0.16465917502186928,0.45331529093369416
LR,0.5642857142857143,0.6780569686990446,0.12159803654213258,0.41271989174560214
LR,0.5826530612244898,0.6780569686990446,0.17484954070319925,0.36941813261163736
LR,0.6010204081632653,0.6780569686990446,0.15266955266955268,0.33694181326116374
LR,0.6193877551020408,0.6780569686990446,0.21887868229331645,0.3004059539918809
LR,0.6377551020408163,0.6780569686990446,0.27906240101362056,0.2652232746955345
LR,0.6561224489795918,0.6780569686990446,0.24010136205258156,0.2232746955345061
LR,0.6744897959183673,0.6780569686990446,0.2011403230915426,0.18267929634641408
LR,0.6928571428571428,0.6780569686990446,0.16217928413050361,0.15832205683355885
LR,0.7112244897959183,0.6780569686990446,0.11890331890331891,0.12449255751014884
LR,0.7295918367346939,0.6780569686990446,0.08267342413683877,0.10690121786197564
LR,0.7479591836734694,0.6780569686990446,0.06491228070175438,0.09336941813261164
LR,0.7663265306122449,0.6780569686990446,0.05555555555555556,0.06901217861975643
LR,0.7846938775510204,0.6780569686990446,0.08421052631578947,0.05277401894451962
LR,0.8030612244897959,0.6780569686990446,0.07317073170731707,0.036535859269282815
LR,0.8214285714285714,0.6780569686990446,0.04878048780487805,0.02165087956698241
LR,0.8397959183673469,0.6780569686990446,0.024390243902439025,0.013531799729364006
LR,0.8581632653061224,0.6780569686990446,0.007772020725388601,0.005412719891745603
LR,0.8765306122448979,0.6780569686990446,0.0025906735751295338,0.0013531799729364006
XGBoost,0.16020408163265304,0.6582509304223664,0.022222222222222254,0.9986468200270636
XGBoost,0.17857142857142855,0.6582509304223664,0.022222222222222254,0.9986468200270636
XGBoost,0.19693877551020406,0.6582509304223664,0.022222222222222254,0.9986468200270636
XGBoost,0.21530612244897956,0.6582509304223664,0.029321382842509625,0.9918809201623816
XGBoost,0.23367346938775507,0.6582509304223664,0.028804883476933885,0.9851150202976996
XGBoost,0.2520408163265306,0.6582509304223664,0.03615857826384139,0.9783491204330176
XGBoost,0.2704081632653061,0.6582509304223664,0.06682954872089686,0.9688768606224628
XGBoost,0.2887755102040816,0.6582509304223664,0.08608534322820038,0.959404600811908
XGBoost,0.3071428571428571,0.6582509304223664,0.11094619666048233,0.9499323410013532
XGBoost,0.3255102040816326,0.6582509304223664,0.06913092550790068,0.9269282814614344
XGBoost,0.3438775510204081,0.6582509304223664,0.10600907029478468,0.912043301759134
XGBoost,0.36224489795918363,0.6582509304223664,0.10872836719337853,0.8985115020297699
XGBoost,0.38061224489795914,0.6582509304223664,0.11550567513432741,0.8633288227334236
XGBoost,0.39897959183673465,0.6582509304223664,0.12517088989921477,0.8322056833558863
XGBoost,0.41734693877551016,0.6582509304223664,0.10919467141449146,0.7929634641407307
XGBoost,0.43571428571428567,0.6582509304223664,0.12460508024769368,0.7577807848443843
XGBoost,0.4540816326530612,0.6582509304223664,0.11471083839379392,0.7293640054127198
XGBoost,0.4724489795918367,0.6582509304223664,0.1409881410358313,0.6833558863328822
XGBoost,0.4908163265306122,0.6582509304223664,0.1509408235614944,0.6211096075778079
