model,auroc,eod_before,eod_after,eod_reduction
LR,0.6780569686990446,0.1950064020486556,0.13393085787451983,0.06107554417413577
XGBoost,0.6582509304223664,0.147941096263976,0.145124716553288,0.0028163797106879884
MLP,0.5355712073174852,0.1409881410358313,0.11986138047245093,0.021126760563380365
